# Polarisation [Grad] Max1 [Volt] Min1 [Volt] Max2 [Volt] Min2 [Volt] Max3 [Volt] Min3 [Volt]
0   1.63 1.52 1.81 1.50 1.75 1.49
10  1.56 1.01 1.49 0.99 1.51 0.91
20  1.35 0.48 1.36 0.47 1.39 0.46
30  1.20 0.23 1.18 0.22 1.29 0.20
40  1.26 0.09 1.27 0.11 1.23 0.99
50  1.48 0.04 1.48 0.05 1.49 0.05
60  1.73 0.13 1.78 0.09 1.79 0.99
70  2.10 0.35 2.13 0.31 1.93 0.32
80  2.23 0.81 2.07 0.76 2.23 0.86
90  2.26 1.62 2.14 1.53 2.11 1.51
100 2.29 2.14 2.90 1.38 2.70 1.45
110 3.87 0.85 3.85 0.87 3.91 0.93
120 4.72 0.40 4.54 0.40 4.94 0.40
130 5.49 0.17 5.32 0.17 5.50 0.18
140 5.30 0.27 5.23 0.21 5.06 0.22
150 4.91 0.59 4.76 0.50 4.61 0.52
160 3.98 1.08 3.88 0.96 4.10 1.01
170 2.82 1.36 2.78 1.37 2.98 1.41
180 1.75 1.56 1.70 1.49 1.81 1.56
